Ticker,price_to_buy,owned,price_to_sell
MTTR,2.03,0,0
XELA,0.031,0,0
SHC,14.53,0,0
PACW,2.46,0,0
AFRM,7.47,0,0
CRON,2.979480621396414,1,3.2774286835360558
MOMO,5.005204896773702,1,5.505725386451073
BBBY,7.265114635518343,1,7.991626099070178
MDRX,17.012640533342125,1,18.71390458667634
ACAD,17.426637579212045,1,19.169301337133252
