0.0091193448275862,0.011895846580014045,
GLBZ.csv,0.13649056603773588,0.2350508291858114,
EMKR.csv,0.06386759999999997,0.049435499291905625,
GOEVW.csv,0.03603193574297186,0.03940107653805054,
ACAC.csv,0.018893827160493853,0.06444854842426488,
GEOS.csv,0.1511152,0.12981257970227694,
ANGI.csv,0.1260528000000001,0.11051913179246389,
CUEN.csv,0.6520734439999997,0.8370132110785392,
CODX.csv,0.1283784,0.10937467939811298,
EAR.csv,1.576374400000001,1.9698706116252,
DUNEW.csv,0.0037261235294117636,0.006402554042037527,
CTKB.csv,0.30333560000000015,0.2599705528952077,
GNLX.csv,1.6210764705882357,2.4205432263082516,
FSBC.csv,0.44823200000000024,0.42155608625187724,
BLCM.csv,0.05960494000000003,0.05007204422142559,
FOXA.csv,0.42698919999999985,0.36674725924451,
ARYE.csv,0.011627777777777803,0.026655975948966588,
GOOD.csv,0.24710840000000014,0.2140748984104395,
HWC.csv,0.6820567999999998,0.603445687675171,
DNUT.csv,0.22227679999999986,0.20244831721147996,
AKRO.csv,0.820314,0.8106052210564647,
ATNF.csv,0.9814792000000002,1.2149893563843923,
FATBP.csv,0.38714979919678716,0.3784848576626011,
CBSH.csv,0.6940528952380955,0.5713009615784105,
COCP.csv,0.16761080000000012,0.14039691507778942,
DMAQR.csv,0.006249546296296298,0.012903201648617822,
CETUU.csv,0.05668181818181823,0.18144466132671655,
CALB.csv,0.22969756097560992,0.2788825563529452,
GTEC.csv,0.10719719999999998,0.09270758993825695,
CZNC.csv,0.24434199999999986,0.20057651616278507,
FAZEW.csv,0.05538484337349395,0.10463368430109518,
EOSE.csv,0.11180600000000007,0.09715253287485613,
CNFRL.csv,0.13065129870129866,0.25669314548673056,
FMIVU.csv,0.010708791208791217,0.05712876846607948,
CCLDO.csv,0.13096935483870953,0.27058611567550545,
BIOSW.csv,0.009902131386861317,0.025129775355700917,
DHCA.csv,0.022191981132075492,0.09194657688971078,
AMTX.csv,0.28329119999999997,0.23976419249454245,
FNCH.csv,0.10150172000000003,0.11906108797507942,
AMD.csv,1.7906475999999993,1.5252319804719023,
DHC.csv,0.05046239199999993,0.03824843256456839,
CARG.csv,0.5238524000000002,0.5575341993584251,
GATEU.csv,0.03554563106796114,0.11863960583694401,
FOSLL.csv,0.3539919678714861,0.379750932029471,
DHHCU.csv,0.10596111111111116,0.5759346633981386,
AOGO.csv,0.009378518518518543,0.030651799258856086,
BPYPO.csv,0.22640839999999998,0.29675487913333437,
DKDCW.csv,0.0053672897196261685,0.01006342926446658,
ALLO.csv,0.33115840000000024,0.3099828500247071,
FEXD.csv,0.022718045112781953,0.08504571511449774,
ENVX.csv,0.5298131999999999,0.5046592126433045,
IRAAW.csv,0.009598714285714285,0.020362064938402733,
GFGDR.csv,0.006734466666666669,0.01537028993331206,
AFARU.csv,0.017141269841269804,0.056309574124388834,
BAOS.csv,0.5159508760330578,0.9531293453092358,
ENTFW.csv,0.010112957219251335,0.019094324224817383,
GAME.csv,0.07268639999999994,0.06698988143772162,
CMPX.csv,0.13533639999999997,0.11990212673276486,
GMDA.csv,0.07905239999999997,0.08162334772747316,
CENT.csv,0.5665283999999996,0.4813855504618309,
FLUX.csv,0.1539419999999999,0.15015199431242998,
EVER.csv,0.3602548000000003,0.3255820336519815,
HEPA.csv,0.033604788,0.02987969612119668,
IDAI.csv,0.5428316599999998,1.1828640885673822,
HTIBP.csv,0.27885853658536575,0.35660882372542885,
GMFIU.csv,0.024952542372881432,0.07872242881556119,
BIOL.csv,0.13551426800000024,0.21473583658807435,
CCAIW.csv,0.01837712345679012,0.028826851221007328,
CYXT.csv,0.23223639600000026,0.2576137151972604,
ADD.csv,0.1966872000000002,0.24767540159684812,
CFB.csv,0.17681800000000014,0.16378469609826188,
FCNCO.csv,0.27033480000000015,0.2578918718163874,
ANSS.csv,3.646273999999998,3.3760175965305645,
AEY.csv,0.04359079999999995,0.041840205966988266,
CLPS.csv,0.04314319999999994,0.04506168099128128,
IMV.csv,0.2995879839999997,0.32703408837073816,
DDI.csv,0.3120466386554623,0.29144967604231775,
BMR.csv,0.1899275862068966,0.22924721018353142,
FPAY.csv,0.061689799999999975,0.07367247590491309,
DYAI.csv,0.07969239999999998,0.0741879600894916,
BWMX.csv,0.30829600000000007,0.31686676440422085,
FDMT.csv,0.5522059999999996,0.5427652286615273,
FITBI.csv,0.2065692,0.2557609541180202,
IDCC.csv,0.7473436000000001,0.6476038901512561,
GTBP.csv,0.08979319200000004,0.07062709134644535,
BIAF.csv,0.2928331125827814,0.7831338507401402,
CDROW.csv,0.033208058394160585,0.059803338011683395,
ATMV.csv,0.03496666666666662,0.0863098177872288,
APGNW.csv,0.021694863905325438,0.04050453052852863,
HTGM.csv,0.6694160000000002,1.1083393082553736,
EKSO.csv,0.06041839999999998,0.06469610298495573,
ACAHW.csv,0.0060065000000000006,0.012145210699662201,
EVGOW.csv,0.10140260240963862,0.09641783323496465,
CYTH.csv,0.099571092,0.0729999259345072,
FRBA.csv,0.16446039999999992,0.1600365148078401,
GRVY.csv,1.0756012,0.9875592789693995,
DXLG.csv,0.13799879999999987,0.11281827670444183,
AVO.csv,0.20698079999999994,0.17005205823911693,
ANZUU.csv,0.031061764705882348,0.10624287592644086,
FLFV.csv,0.050169565217391326,0.12116648135585512,
BNR.csv,0.16669439999999996,0.1678419846422223,
CMCA.csv,0.03948012820512817,0.10422927354676385,
ICMB.csv,0.09190680000000001,0.09623343698403376,
ACAH.csv,0.013466814159292106,0.04589836121711529,
