Days,neighbors,accuracy,pos accuracy,neg accuracy
5,1,0.502790440080092,0.4896507632062655,0.5177919708029197
5,2,0.4942157196325281,0.48748111374919056,0.519277108433735
5,3,0.4902789518174134,0.4872648810919837,0.5177274668944896
5,4,0.4885889052942417,0.4865674310491261,0.5224887556221889
5,5,0.4897235703734965,0.487460884128873,0.5407554671968191
5,6,0.4883111392940182,0.486565060347106,0.5299055613850997
6,1,0.5023651844843898,0.4854977183076804,0.5215252152521526
6,2,0.49173995233007317,0.483631030328427,0.5212664505054359
6,3,0.4883673385942675,0.48391799544419134,0.5273234942161946
6,4,0.4830017935757378,0.48187088958116997,0.5014084507042254
6,5,0.4837408312958435,0.4826073998382084,0.5090218423551757
6,6,0.4858448233662397,0.4840182648401826,0.5254394079555966
7,1,0.5049377759935769,0.48530312308634416,0.5265912544318757
7,2,0.489286574111227,0.480106781662303,0.5221385265478596
7,3,0.4849368707048106,0.48032236400268635,0.5232083178611214
7,4,0.4849618077657543,0.4809556197925523,0.543424317617866
7,5,0.4847569458245558,0.4811170658181209,0.5529411764705883
7,6,0.4840571633294853,0.4810296398775835,0.5410094637223974
8,1,0.502883276993438,0.4815097216927183,0.5261845386533666
8,2,0.49111508646392366,0.4803701053062059,0.5286965850169855
8,3,0.4860726438236923,0.4796708185053381,0.5375805297065139
8,4,0.4842499507194954,0.47987015724463555,0.5474452554744526
8,5,0.48317175061086154,0.4797173732335827,0.5464231354642314
8,6,0.48202034539862787,0.4791414878099604,0.5325530358449159
9,1,0.5077074709245023,0.4846066992849078,0.5331125827814569
9,2,0.4950354609929078,0.48154746754899463,0.5412380122057542
9,3,0.4893299858779225,0.48093763821318003,0.5551700208188758
9,4,0.4843035302396497,0.47906957215434354,0.5550510783200908
9,5,0.4840736981809665,0.4793954909571393,0.565
9,6,0.48336656111958093,0.47898009950248754,0.5557837097878165
10,1,0.507777734021187,0.48463091765761723,0.5335218765596407
10,2,0.49483239674617835,0.48112348178137654,0.5424652716722349
10,3,0.4870068879148403,0.4791767661187255,0.5491087032506117
10,4,0.483609116453325,0.47849866399465596,0.5568181818181818
10,5,0.48055642144638405,0.4768547092951487,0.5466568699485672
10,6,0.48043342687870283,0.47687347579878475,0.5393028024606972
11,1,0.5072594924257329,0.48291657280168204,0.5340552157381385
11,2,0.4960113176405863,0.48142304560260585,0.5454388687704776
11,3,0.4865277071682766,0.4784182187306911,0.5496052179883282
11,4,0.48303533169724594,0.4775363229075074,0.5564876957494407
11,5,0.4822805514448166,0.4778149940040524,0.5545150501672241
11,6,0.4809746588693957,0.4771495288132766,0.5359712230215827
12,1,0.5063380836154634,0.48148148148148145,0.5342924054867849
12,2,0.49115426953923574,0.47802336755854535,0.5369814651368049
12,3,0.48336135768193017,0.47601622431884316,0.5409892770667589
12,4,0.48220820680526355,0.47644132279777585,0.5602716468590832
12,5,0.4809496010897062,0.4761097091796633,0.5578186596583443
12,6,0.48098800062334424,0.47619047619047616,0.5492289442467378
13,1,0.5000393979985817,0.47575555060518304,0.5274863617289132
13,2,0.4886010158680159,0.47603189020082753,0.533249686323714
13,3,0.4830880050109615,0.4758249514734427,0.5403337969401947
13,4,0.48213867873020827,0.4766052343684255,0.5522388059701493
13,5,0.4793581554759308,0.4751040799333888,0.5410628019323671
13,6,0.48176179144072095,0.4763944892473118,0.5517808219178082
14,1,0.5072138126773889,0.48200044719385854,0.535520040164003
14,2,0.49303555222349366,0.4787509520182788,0.5428470254957507
14,3,0.4850614424247183,0.47650709219858156,0.5513569220199245
14,4,0.48096966857945894,0.4750347617241815,0.5557324840764332
14,5,0.48094402184513363,0.4754440961337513,0.5578947368421052
14,6,0.4815928167089596,0.4754042984419204,0.5574534161490683
15,1,0.5116654843540632,0.48563367733313534,0.5411171776564468
15,2,0.49657075285770597,0.4801436737997673,0.5545243619489559
15,3,0.4847156444479236,0.47625562715155795,0.5510204081632653
15,4,0.48307200249629456,0.4764795144157815,0.56478578892372
15,5,0.4819549458258633,0.47596093389780775,0.5613548028872848
15,6,0.4819747685818068,0.4758290221355271,0.553686293913904
16,1,0.5107584192032848,0.4846342733834363,0.5402859545836838
16,2,0.4932392478416841,0.4785982351151232,0.5443441317047265
16,3,0.48366243535496006,0.4753168483559337,0.5473292765382015
16,4,0.48086919138625084,0.47478991596638653,0.551604938271605
16,5,0.4820647077211629,0.4755660496690138,0.5642666666666667
16,6,0.4825185764567853,0.47563003709863116,0.5587541293062765
17,1,0.5064996641510925,0.47997309819160067,0.5362622620944076
17,2,0.49219796674284816,0.47741476550988265,0.5432683868702826
17,3,0.4844571787424445,0.4754449350996922,0.5505067015364499
17,4,0.48094288729916734,0.474660441426146,0.5541810984661059
17,5,0.48177805554470526,0.4751136937847398,0.5671883432271991
17,6,0.4827019411396368,0.47544128933231006,0.5638703527168732
18,1,0.5056827150749803,0.47974334104305005,0.5348077406383513
18,2,0.4927005863140912,0.47732005892213136,0.5455815578064966
18,3,0.4860376767320722,0.4760096497498213,0.5573197840584313
18,4,0.4822501365374113,0.4747943921251119,0.5629903091832026
18,5,0.48246948246948246,0.4750212044105174,0.5676855895196506
18,6,0.48312937404699535,0.47550704709522174,0.5600867678958785
19,1,0.5111067193675889,0.4836242109171927,0.5423743134769751
19,2,0.4941032619413876,0.4775945191575742,0.5516997167138811
19,3,0.48579835229501767,0.4754956809739068,0.5589450270098506
19,4,0.4849634351413711,0.4759559799597482,0.5798016230838593
19,5,0.4848224401297027,0.4759719566602932,0.585838991270611
19,6,0.48419405320813774,0.47542041202528923,0.5725422260718926
20,1,0.514833445557888,0.48533116017187733,0.5487275512809601
20,2,0.49669607881929334,0.4788475195292685,0.559992804461234
20,3,0.48640898735171656,0.47560975609756095,0.5651041666666666
20,4,0.4849671155652991,0.4758316564627307,0.582533150434385
20,5,0.48575342465753424,0.47649600068437487,0.5854444956241364
20,6,0.4887049964703114,0.477718591659088,0.5941005400914001
21,1,0.5151142005958292,0.4867034990791897,0.5483620689655172
21,2,0.4979569167294799,0.4803717434360876,0.5607324147933285
21,3,0.4869390488948426,0.4763055443683716,0.565260382333553
21,4,0.4846938775510204,0.4755767495811316,0.5810258738084431
21,5,0.48394684229095614,0.47540702656383893,0.5758414015675426
21,6,0.48520221671972646,0.47601845403899723,0.5707336846372112
22,1,0.5103927013090044,0.4820392272092852,0.5436750883849272
22,2,0.4962134728995678,0.4780107910007126,0.5603587443946189
22,3,0.48853608572329027,0.47641868589600034,0.577036310107949
22,4,0.48855381474064474,0.47710022425392445,0.6050899517332163
22,5,0.4869190037262208,0.4762497318172066,0.6004566210045662
22,6,0.4870214019242097,0.47588915557495093,0.5870588235294117
23,1,0.5111850180148078,0.4817902588854761,0.5458862125528792
23,2,0.4961944026004916,0.4779486657160318,0.5602862254025045
23,3,0.48605530607421416,0.47450909745991715,0.566624764299183
23,4,0.4836342229199372,0.4743207636819144,0.5762129669386002
23,5,0.4846950788792089,0.47481766000604203,0.5837299870186067
23,6,0.4872308659437372,0.4760297984224365,0.5843465045592705
24,1,0.5147420147420148,0.4837981504405447,0.5516911572906704
24,2,0.49815732118089956,0.4789578138517124,0.5657234957020058
24,3,0.489034137890302,0.47613892647722145,0.5776262782770375
24,4,0.48356180525550885,0.4738852950115052,0.5754328112118714
24,5,0.4836506378802748,0.47396170966766066,0.5796232876712328
24,6,0.4861750245821042,0.47502414186638575,0.5822928490351873
25,1,0.5159303988558716,0.4851722634103794,0.5530050814788856
25,2,0.5030967127203431,0.4820617504465425,0.5767924190952977
25,3,0.4906768636417393,0.4766536088972939,0.5892970234325523
25,4,0.4856828626418948,0.4745336225596529,0.5923619759236197
25,5,0.4851422963689892,0.4741177490678921,0.5907015359070154
25,6,0.48635577225542626,0.4747234342632994,0.5825738242799854
26,1,0.5154426359666534,0.4841783661889867,0.5530018351830813
26,2,0.5009927726153601,0.4798281945083602,0.5745777777777777
26,3,0.4902115566782444,0.4759481127826322,0.5912571793235482
26,4,0.4847223313172571,0.47375027050421986,0.5922783198981757
26,5,0.48326918545283165,0.4731182795698925,0.5852494577006507
26,6,0.4879864502914763,0.4759558273571209,0.5908236179014668
27,1,0.5201734840044565,0.4880243867034403,0.5591861898890259
27,2,0.5038953811908736,0.48192526401299757,0.5831197363603076
27,3,0.49057573003516813,0.4763429705471111,0.5911989795918368
27,4,0.4864716061035079,0.4748656612931184,0.6003401360544217
27,5,0.48705132241813603,0.4754808525385548,0.6019793459552496
27,6,0.48891606184916375,0.4763956043956044,0.5983858570330515
28,1,0.5199968164272355,0.48794613769637296,0.559119830328738
28,2,0.5020080321285141,0.48025581159273173,0.5806866164861392
28,3,0.49069427431145535,0.47559104854719364,0.5972001272669424
28,4,0.48587414791756967,0.4738815732100811,0.598364008179959
28,5,0.4859046642747309,0.47381480997779807,0.6020066889632107
28,6,0.48896098757616524,0.4756362990272287,0.5976095617529881
29,1,0.5155165536497807,0.48346296430907904,0.5544948289578361
29,2,0.4958066695814619,0.4763016340200954,0.5662937832385843
29,3,0.4865142766748398,0.473039771438937,0.5783616692426584
29,4,0.48224770461441463,0.47138785354089013,0.578538102643857
29,5,0.4862935352818207,0.47414360278959605,0.5947533281127643
29,6,0.4889372649910944,0.474964234620887,0.5968243010010356
30,1,0.5157898928756321,0.48282842889162025,0.5562056737588652
30,2,0.49768942713727987,0.47698659462765686,0.571767280685756
30,3,0.4881886642885454,0.47383773928896994,0.5838905775075988
30,4,0.4849502291041239,0.4728777738640366,0.5902457757296466
30,5,0.48764870953717243,0.47459497638281906,0.599320241691843
30,6,0.4917870179336613,0.47673789559101976,0.6022501654533422
31,1,0.5186559719063011,0.4862458375561025,0.5584704313028013
31,2,0.5030295782508172,0.480159950784374,0.5829749103942652
31,3,0.49353379879403364,0.47677764077270857,0.6043491392328602
31,4,0.4872412703428662,0.4738255624532206,0.6043027276219747
31,5,0.48695961432071444,0.4737841777463669,0.5988001499812523
